Statut,Action,Responsable,Échéance,Commentaire
À faire,Cartographier les flux de factures émises et reçues,,,
À faire,Vérifier le calendrier applicable à l'entreprise,,,
À faire,Identifier le logiciel de facturation et ses capacités,,,
À faire,Choisir ou confirmer la plateforme agréée utilisée,,,
À faire,Contrôler la qualité des données clients et fournisseurs,,,
À faire,Définir le circuit de validation des factures,,,
À faire,Prévoir le traitement des rejets et anomalies,,,
À faire,Former les personnes concernées,,,
À faire,Tester un flux complet avant l'échéance,,,
À faire,Documenter le nouveau processus et les responsabilités,,,
