Bloc,Sujet,Valeur,Responsable,Echeance,Statut,Notes
Vision,Nom de l'etablissement,"Comptoir de Jeanne - restauration rapide maison",Dirigeant,2026-12-31,Exemple,"Equipe de 5 personnes, service midi fort"
Vision,Cap sur 12 mois,"Avoir un point de vente plus fluide, une qualite stable et moins de dependance au dirigeant sur les achats et le service",Dirigeant,2026-12-31,Valide,"A revoir tous les trimestres"
Vision,Objectif principal,"Atteindre 48 000 EUR de chiffre d'affaires mensuel avec un food cost cible a 29 %",Dirigeant,2026-12-31,Valide,"Base de pilotage annuel"
Vision,Positionnement,"Etre l'adresse locale simple et fiable pour manger vite, bien et de facon reguliere",Dirigeant,2026-12-31,Valide,"A reprendre dans le menu et les reseaux"
Priorite trimestrielle,Priorite 1,"Stabiliser les 15 recettes coeur de carte avec fiches recette a jour",Responsable cuisine,2026-09-15,En cours,"Aucun ecart de portionnement"
Priorite trimestrielle,Priorite 2,"Mettre en place un suivi food cost chaque semaine",Dirigeant,2026-09-01,A lancer,"Rituel chaque lundi"
Priorite trimestrielle,Priorite 3,"Clarifier qui gere les ruptures, achats urgents et gestes commerciaux",Dirigeant,2026-09-20,A lancer,"A formaliser dans la grille d'autorite"
Priorite trimestrielle,Priorite 4,"Repondre a tous les avis Google sous 48h",Responsable salle,2026-10-01,A lancer,"Trame commune"
Indicateur,Chiffre d'affaires mensuel,43700 EUR,Dirigeant,Mensuel,A suivre,"Objectif : 48000 EUR"
Indicateur,Ticket moyen,16.8 EUR,Responsable salle,Hebdomadaire,A suivre,"Cible : 18 EUR"
Indicateur,Food cost,31 %,Dirigeant,Hebdomadaire,Sous surveillance,"Cible : 29 %"
Indicateur,Taux de rupture produits phares,7 %,Responsable cuisine,Hebdomadaire,Sous surveillance,"Cible < 3 %"
Indicateur,Avis Google du mois,22,Responsable salle,Mensuel,A suivre,"Maintenir note > 4.6"
